emotion,dominant_emotion,region,face_confidence,image_name
"{'angry': 0.0009041951670951676, 'disgust': 1.5747358972362235e-08, 'fear': 0.06300440290942788, 'happy': 6.620865189432834e-07, 'sad': 99.93274211883545, 'surprise': 1.3194294615215263e-09, 'neutral': 0.003354229556862265}",sad,"{'x': 2039, 'y': 2155, 'w': 77, 'h': 77, 'left_eye': None, 'right_eye': None}",0.98,967626.jpg
"{'angry': 2.1061791107058525, 'disgust': 0.37119872868061066, 'fear': 14.584966003894806, 'happy': 0.5697206594049931, 'sad': 75.72908997535706, 'surprise': 0.06539851310662925, 'neutral': 6.5734535455703735}",sad,"{'x': 826, 'y': 493, 'w': 1221, 'h': 1221, 'left_eye': (1599, 1019), 'right_eye': (1225, 961)}",0.91,albert einsteun.jpg
"{'angry': 14.058912638361015, 'disgust': 7.845464329525774e-10, 'fear': 1.6515654564836892, 'happy': 0.0007700605696906582, 'sad': 83.2970490036636, 'surprise': 1.3677775283849023e-07, 'neutral': 0.9917017663539509}",sad,"{'x': 0, 'y': 0, 'w': 999, 'h': 1008, 'left_eye': None, 'right_eye': None}",0.0,EGN_logo.jpg
"{'angry': 2.503431018041624e-07, 'disgust': 2.7400493051392806e-13, 'fear': 7.585213666061463e-05, 'happy': 99.99916553497314, 'sad': 7.176298222333344e-07, 'surprise': 4.8365947691308975e-06, 'neutral': 0.0007533355983468937}",happy,"{'x': 361, 'y': 572, 'w': 1460, 'h': 1460, 'left_eye': None, 'right_eye': None}",0.93,gluecklich.jpg
"{'angry': 0.0005508013019583033, 'disgust': 1.8754869110710467e-12, 'fear': 0.002331537646386688, 'happy': 0.00019499954103547674, 'sad': 0.07981370911754423, 'surprise': 0.00027715315642445535, 'neutral': 99.9168336341878}",neutral,"{'x': 363, 'y': 607, 'w': 1512, 'h': 1512, 'left_eye': None, 'right_eye': None}",0.92,laecheln.jpg
"{'angry': 0.694423308596015, 'disgust': 0.00028574338557518786, 'fear': 21.224132180213928, 'happy': 1.3605445623397827, 'sad': 28.025874495506287, 'surprise': 0.04379088350106031, 'neutral': 48.65095019340515}",neutral,"{'x': 380, 'y': 617, 'w': 1490, 'h': 1490, 'left_eye': None, 'right_eye': None}",0.92,normal.jpg
"{'angry': 1.551908626521148, 'disgust': 0.02495487136497327, 'fear': 7.7437561895702, 'happy': 88.25854589095985, 'sad': 1.5910021046401324, 'surprise': 0.22401994963854252, 'neutral': 0.6058173615227557}",happy,"{'x': 387, 'y': 611, 'w': 1473, 'h': 1473, 'left_eye': None, 'right_eye': None}",0.94,sehrgluecklich.jpg
"{'angry': 0.507278461009264, 'disgust': 0.0009698508620203938, 'fear': 13.797670602798462, 'happy': 18.178053200244904, 'sad': 1.4496074058115482, 'surprise': 2.740604057908058, 'neutral': 63.32581639289856}",neutral,"{'x': 413, 'y': 786, 'w': 1483, 'h': 1483, 'left_eye': None, 'right_eye': None}",0.95,sehrtraurig.jpg
"{'angry': 0.6325307302176952, 'disgust': 1.1728167947921975e-05, 'fear': 0.205861683934927, 'happy': 0.030427880119532347, 'sad': 48.53077828884125, 'surprise': 0.0018881635696743615, 'neutral': 50.59850215911865}",neutral,"{'x': 419, 'y': 670, 'w': 1496, 'h': 1496, 'left_eye': None, 'right_eye': None}",0.91,traurig.jpg
"{'angry': 95.2412304425973, 'disgust': 2.805682252686158, 'fear': 1.3185892108731991, 'happy': 0.0057543922385956195, 'sad': 0.46547104584998167, 'surprise': 0.04734000822506894, 'neutral': 0.11593712951985774}",angry,"{'x': 410, 'y': 711, 'w': 1477, 'h': 1477, 'left_eye': None, 'right_eye': None}",0.92,wuetend.jpg
